UF,nome,PIB,Pop_est_2009,PIB_percapita
BAHIA,Tremedal,57883.9921875,18433,3140.23999023
RIO GRANDE DO SUL,Turuçu,45723.875,4000,11430.96972656
ESPIRITO SANTO,Vitória,19782628.0,320156,61790.58984375
MINAS GERAIS,Jacutinga,247816.0,21424,11567.20996094
PIAUÍ,Nazária,20951.38085938,7895,2653.75
MINAS GERAIS,Pedra Azul,187523.671875,26000,7212.45019531
PIAUÍ,Teresina,8700461.0,802537,10841.20019531
PIAUÍ,Amarante,65322.88671875,17892,3650.94995117
GOIÁS,Matrinchã,45910.546875,4420,10387.0
PERNAMBUCO,Cachoeirinha,80433.8046875,18123,4438.22021484
PARÁ,Afuá,100038.40625,32633,3065.56005859
PERNAMBUCO,Fernando de Noronha,26980.71484375,3108,8681.04980469
RIO GRANDE DO SUL,Frederico Westphalen,490769.53125,28428,17263.59960938
SERGIPE,Amparo de São Francisco,12769.73339844,2268,5630.39013672
SÃO PAULO,Itapeva,1120700.0,89768,12484.40039062
PARAÍBA,Bayeux,604882.125,96198,6287.89013672
TOCANTINS,Ananás,59541.40625,9514,6258.29003906
MINAS GERAIS,Santo Antônio do Retiro,25568.890625,7087,3607.86010742
PARAÍBA,Serra Branca,62123.3359375,12816,4847.33007812
AMAZONAS,Envira,69843.03125,17614,3965.19995117
TOCANTINS,Oliveira de Fátima,11591.94921875,1129,10267.45019531
SÃO PAULO,Elisiário,52295.234375,3317,15765.8203125
SANTA CATARINA,Otacílio Costa,364577.8125,16587,21979.73046875
MINAS GERAIS,Sericita,39047.0703125,7345,5316.14013672
MINAS GERAIS,Diamantina,287632.03125,46372,6202.70996094
BAHIA,Maetinga,23558.44726562,7884,2988.12988281
CEARÁ,Iracema,62552.0234375,15114,4138.68017578
RORAIMA,São João da Baliza,59372.453125,6028,9849.45019531
RIO GRANDE DO SUL,Paulo Bento,37882.76953125,2149,17628.08984375
PERNAMBUCO,Alagoinha,57886.21484375,14913,3881.59008789
PIAUÍ,Inhuma,62012.0234375,15490,4003.36010742
MARANHÃO,Joselândia,60842.48046875,16188,3758.48999023
RIO DE JANEIRO,Itaguaí,3008327.25,105633,28479.05078125
MINAS GERAIS,Cedro do Abaeté,10221.85644531,1221,8371.70996094
RIO GRANDE DO SUL,Cacequi,174171.703125,13578,12827.49023438
PERNAMBUCO,Barra de Guabiraba,46595.87109375,13623,3420.37988281
BAHIA,Ibirapuã,74997.40625,7893,9501.75976562
PARAÍBA,Bernardino Batista,11964.66210938,3315,3609.25
PARAÍBA,Lagoa,19203.7109375,4949,3880.32006836
MATO GROSSO,Novo Horizonte do Norte,32778.5078125,3970,8256.54980469
MINAS GERAIS,Nova Lima,2120726.75,76608,27682.83984375
PARÁ,Tomé-Açu,226379.46875,48607,4657.33984375
BAHIA,Governador Mangabeira,92903.8203125,20668,4495.06005859
PIAUÍ,Aroeiras do Itaim,8614.79785156,2759,3122.42993164
GOIÁS,Perolândia,145665.390625,2830,51471.87109375
PARAÍBA,Pocinhos,68767.046875,16538,4158.12011719
BAHIA,Ibititá,62366.88671875,19410,3213.12988281
TOCANTINS,Aliança do Tocantins,44565.703125,5822,7654.70996094
MINAS GERAIS,Igarapé,277495.78125,33773,8216.5
TOCANTINS,Lagoa da Confusão,263527.4375,8711,30252.25976562
PARAÍBA,Puxinanã,59902.4921875,13354,4485.72998047
SÃO PAULO,Guarujá,3429098.5,308058,11131.33984375
RIO GRANDE DO SUL,Engenho Velho,24098.88671875,1467,16427.33007812
PARANÁ,Rio Bom,29087.8984375,3292,8835.9296875
BAHIA,Sátiro Dias,75908.4609375,18919,4012.29003906
SANTA CATARINA,José Boiteux,50867.8984375,5054,10064.87988281
PARÁ,Cachoeira do Arari,62800.12890625,20411,3076.7800293
BAHIA,Irajuba,29224.98828125,7666,3812.29003906
PERNAMBUCO,Palmares,387086.59375,58819,6580.97998047
SERGIPE,Brejo Grande,39924.37890625,8086,4937.47021484
PARANÁ,Altamira do Paraná,37563.4296875,3799,9887.71972656
MATO GROSSO,Nova Santa Helena,49004.0,3473,14109.99023438
PARAÍBA,São Sebastião do Umbuzeiro,15186.453125,3170,4790.68017578
MATO GROSSO,Nova Guarita,45700.81640625,4907,9313.38964844
MARANHÃO,Serrano do Maranhão,40995.56640625,11085,3698.29003906
SÃO PAULO,Pedrinhas Paulista,75881.6875,2927,25924.73046875
GOIÁS,Santa Rita do Novo Destino,29350.61328125,3576,8207.66992188
PARAÍBA,Cabedelo,2332828.25,51865,44978.8515625
PERNAMBUCO,Cabrobó,188859.3125,30432,6205.95019531
ALAGOAS,Dois Riachos,35078.25390625,11200,3131.98999023
MATO GROSSO DO SUL,Corumbá,2715506.75,99467,27300.58007812
MINAS GERAIS,Santa Maria do Suaçuí,71374.390625,14931,4780.27978516
MATO GROSSO,Tapurah,321427.21875,11517,27908.93945312
PARÁ,Bragança,382807.5625,107060,3575.63989258
RIO DE JANEIRO,Três Rios,1304643.375,76075,17149.43945312
ALAGOAS,Belém,19550.015625,5083,3846.15991211
CEARÁ,Abaiara,33615.54296875,11077,3034.7199707
BAHIA,Itaquara,33105.69921875,7743,4275.56982422
MARANHÃO,Santa Luzia,243949.921875,71455,3414.04003906
PARAÍBA,Patos,615180.875,100732,6107.10009766
SÃO PAULO,São Luís do Paraitinga,82827.171875,10908,7593.25
SANTA CATARINA,Cordilheira Alta,128883.09375,3531,36500.44921875
MINAS GERAIS,Catas Altas da Noruega,14633.55566406,3573,4095.59008789
ACRE,Marechal Thaumaturgo,109181.8671875,14275,7648.47021484
PARAÍBA,Riachão do Bacamarte,17855.66796875,4319,4134.20996094
MARANHÃO,Senador Alexandre Costa,31518.8046875,9414,3348.08007812
